ID,medv
3,36.81
6,26.93
8,16.2
9,15.379999999999999
10,17.29
18,19.54
20,20.91
25,15.86
26,15.23
27,19.109999999999996
29,19.03
30,22.509999999999998
33,14.209999999999997
34,14.16
36,21.630000000000003
37,21.37
38,21.509999999999998
42,29.430000000000007
49,17.419999999999998
53,25.330000000000002
60,21.1
63,24.03
70,21.759999999999998
72,21.780000000000005
79,21.31
80,20.86
83,23.85
92,21.310000000000002
93,24.64
96,24.32
98,47.239999999999995
99,42.25000000000001
100,32.46
105,20.56
106,16.49
111,21.03
113,17.93
114,16.93
116,20.580000000000002
126,21.04
130,15.59
131,18.32
133,20.0
136,17.27
141,14.860000000000003
144,13.36
145,13.639999999999997
147,15.36
152,22.31
153,25.04
156,15.809999999999999
158,35.61
163,44.11
169,21.130000000000003
185,21.849999999999998
186,23.110000000000003
189,30.9
196,42.52
197,34.58
199,33.92999999999999
200,33.04
203,36.53
208,19.43
210,16.82
211,18.67
213,20.08
216,23.220000000000002
218,23.410000000000004
219,18.82
220,21.240000000000002
221,23.700000000000003
229,37.2
232,33.029999999999994
238,36.980000000000004
239,24.31
240,26.07
242,21.2
246,17.449999999999996
248,21.5
253,30.49
255,22.54
256,20.09
257,36.959999999999994
258,43.17999999999999
259,34.82
260,29.48
268,39.83
270,22.86
271,21.85
276,31.619999999999997
277,34.55
278,31.090000000000003
279,24.700000000000003
281,43.489999999999995
288,23.880000000000003
290,24.229999999999997
292,33.72
295,21.230000000000004
296,27.630000000000003
299,23.46
300,31.529999999999994
301,28.55
308,28.97
314,23.82
315,25.75
320,21.46
322,24.779999999999998
323,25.199999999999996
324,21.990000000000002
327,25.49
330,23.46
332,19.95
333,23.269999999999996
336,21.949999999999996
338,20.19
346,20.669999999999998
347,19.58
351,23.740000000000002
352,26.52
354,35.24
355,19.669999999999998
356,20.830000000000005
362,20.740000000000002
364,20.360000000000003
365,43.67
370,48.010000000000005
376,29.25
379,11.770000000000001
380,11.950000000000001
381,14.329999999999998
382,10.59
386,9.41
389,9.52
391,14.899999999999997
394,16.85
396,14.440000000000001
398,14.75
400,11.33
403,13.15
405,8.190000000000001
406,9.76
407,12.599999999999998
410,15.95
411,27.02
412,12.01
413,13.180000000000001
417,10.66
421,18.509999999999998
422,18.69
423,19.52
424,12.05
427,16.009999999999998
431,13.219999999999999
436,10.22
437,11.55
439,9.96
447,16.32
450,15.63
451,14.55
455,13.309999999999999
457,13.63
471,16.06
474,23.18
476,15.680000000000001
483,33.85
486,21.720000000000002
490,14.059999999999999
495,20.950000000000003
496,16.279999999999998
497,15.459999999999997
499,21.55
501,20.29
505,25.65
